personID,textID,interest,complexity,comprehension,familiarity
13,7784,2.67,5.50,3.33,4.00
13,4504,7.00,1.50,6.33,4.00
13,6474,3.67,5.50,4.00,4.75
13,4701,4.67,1.00,6.33,5.00
13,9977,4.00,3.00,2.67,4.75
13,11299,3.00,2.00,5.00,4.00
13,5938,3.00,4.00,4.67,2.75
13,2725,5.00,2.00,6.00,3.50
13,322,4.33,4.50,2.33,3.75
13,11143,5.67,4.00,6.00,4.50
13,10879,3.00,2.50,5.00,3.50
13,4584,2.00,2.50,5.00,3.00
13,6366,4.00,4.00,4.33,3.50
13,4094,4.67,2.00,6.00,4.75
13,3775,5.67,3.00,6.00,3.25
13,3819,5.67,4.50,5.33,3.75
13,13165,6.00,4.00,6.00,4.25
13,6046,5.00,2.00,6.00,4.50
14,13165,4.33,4.00,5.00,4.00
14,6474,3.33,4.00,2.67,5.00
14,11143,2.67,4.50,2.67,4.75
14,4584,3.33,4.50,3.67,5.00
14,3819,3.00,5.00,3.00,5.25
14,322,6.00,2.00,6.00,5.50
14,6366,3.33,4.50,4.33,3.25
14,5938,5.00,3.50,5.00,3.25
14,2725,5.33,2.00,6.00,4.00
14,9977,4.67,3.00,5.00,4.00
14,7784,4.00,2.50,5.00,2.75
14,3775,6.00,3.00,5.67,4.50
14,11299,3.33,1.50,5.33,1.50
14,4094,5.33,2.50,5.33,2.25
14,10879,2.67,3.50,4.00,2.50
14,4701,2.33,3.00,5.00,3.25
14,6046,6.00,2.50,6.00,2.75
14,4504,7.00,2.00,7.00,3.00
15,4701,2.67,4.50,4.33,3.25
15,6046,5.33,2.00,5.67,4.50
15,4504,5.33,6.50,4.00,3.00
15,3775,4.33,5.00,4.67,4.00
15,5938,1.00,5.50,3.67,3.50
15,6366,5.00,5.50,3.67,4.00
15,3819,5.67,6.00,2.33,5.00
15,9977,2.33,5.50,5.00,4.00
15,11299,6.00,1.00,5.33,3.50
15,13165,3.67,6.00,3.33,4.00
15,6474,4.33,3.00,5.33,5.00
15,10879,4.33,4.00,2.33,3.50
15,2725,5.33,6.00,4.67,4.25
15,7784,2.67,6.50,2.67,4.25
15,11143,6.00,6.50,3.33,5.25
15,4094,3.00,5.50,3.00,5.75
15,322,4.33,3.00,3.67,4.75
15,4584,6.00,5.00,3.67,6.75
16,4584,2.33,5.50,4.00,2.75
16,4504,5.33,2.00,6.33,2.50
16,6046,6.00,1.00,7.00,2.50
16,6366,2.67,3.50,5.33,3.00
16,4094,2.67,4.00,5.67,3.25
16,13165,5.67,1.50,7.00,2.75
16,2725,5.33,1.50,7.00,2.75
16,10879,2.33,3.00,5.67,1.75
16,322,5.00,1.50,6.67,2.50
16,11143,2.33,4.50,5.00,2.75
16,9977,2.33,4.00,4.67,2.75
16,7784,6.00,3.00,6.00,2.25
16,4701,4.67,1.00,7.00,2.50
16,6474,6.33,1.00,7.00,3.00
16,5938,4.67,1.50,7.00,3.75
16,3819,3.33,5.50,2.67,3.75
16,3775,3.33,3.00,5.67,4.00
16,11299,4.00,1.00,7.00,4.50
17,7784,3.00,5.50,1.00,3.00
17,13165,6.33,2.00,6.67,4.00
17,6366,1.00,5.00,2.67,3.00
17,4094,5.33,1.00,7.00,4.50
17,10879,5.33,1.50,6.00,3.00
17,3775,6.00,1.50,6.33,4.00
17,5938,4.33,3.50,4.33,3.50
17,6474,5.67,1.00,6.67,5.25
17,4701,5.33,1.00,7.00,6.00
17,9977,1.67,2.00,5.67,4.50
17,11299,7.00,1.00,7.00,6.00
17,4504,7.00,1.00,7.00,6.25
17,2725,4.67,2.00,6.00,2.50
17,11143,5.33,4.00,4.00,2.75
17,3819,2.00,5.50,2.33,1.25
17,322,5.00,2.00,5.67,2.75
17,4584,1.00,3.50,4.33,2.50
17,6046,6.33,1.00,7.00,3.00
19,11143,3.00,4.00,4.33,4.75
19,6366,5.00,2.50,4.33,4.50
19,9977,3.33,2.00,5.67,5.25
19,3819,4.00,4.50,3.67,4.75
19,4094,4.00,3.00,4.33,5.25
19,6474,5.33,2.00,6.00,5.50
19,322,5.33,2.00,6.00,2.50
19,10879,6.00,2.00,5.67,2.50
19,13165,6.00,4.00,5.67,3.25
19,5938,5.33,2.50,6.00,3.50
19,3775,6.33,3.00,7.00,3.75
19,6046,6.00,2.00,6.67,3.50
19,2725,3.67,3.00,5.67,4.25
19,4504,6.67,2.00,6.67,5.00
19,11299,4.33,3.50,5.00,4.00
19,4584,3.33,6.00,2.67,3.50
19,7784,4.67,3.50,4.67,4.50
19,4701,2.00,1.00,6.67,4.25
20,7784,3.67,5.00,4.67,5.25
20,3775,6.00,2.00,6.00,5.25
20,322,4.00,3.50,5.00,5.00
20,4504,5.33,2.00,6.00,4.50
