"","personID","textID","interest","complexity","comprehension","familiarity"
"283","19",2725,3.14561027837259,3.4,5.15704387990762,4.25
"284","19",4504,7,2.2,6.54272517321016,5
"285","19",11299,3.99357601713062,4,4.22863741339492,4
"286","19",4584,2.70877944325482,7,0.999999999999999,3.5
"287","19",7784,4.43040685224839,4,3.77136258660508,4.5
"288","19",4701,1,1,6.54272517321016,4.25
"289","20",7784,3.505,6.14285714285714,2.02,5.25
"290","20",3775,7,1,6.01,5.25
"291","20",322,4,3.57142857142857,3.01,5
"292","20",4504,5.995,1,6.01,4.5
"293","20",6474,5.005,2.71428571428571,5.02,5.5
"294","20",4094,2.5,1,7,5.5
"295","20",6366,7,2.71428571428571,6.01,5
"296","20",5938,5.005,2.71428571428571,5.02,5
"297","20",3819,5.5,7,0.999999999999998,4
"298","20",13165,7,2.71428571428571,6.01,4.75
"299","20",6046,3.505,1,6.01,4.75
"300","20",4701,1,1,6.01,4.75
"301","20",11299,3.505,1,6.01,4.5
"302","20",11143,2.995,1.85714285714286,5.02,4.5
"303","20",10879,4,3.57142857142857,3.01,3.75
"304","20",2725,5.5,1.85714285714286,6.01,4.25
"305","20",9977,1,1.85714285714286,6.01,4.25
"306","20",4584,4,2.71428571428571,3.01,4.75
"307","21",3775,4.495,3.25,4.01123595505618,2.75
"308","21",2725,1.495,4,1,2.75
"309","21",6366,2.005,6.25,3.24719101123596,2.75
"310","21",10879,5.5,2.5,1.76404494382022,3.5
"311","21",4094,5.005,2.5,7,3.75
"312","21",6046,6.505,2.5,5.49438202247191,3.25
"313","21",7784,4,7,2.50561797752809,3.75
"314","21",5938,1,4.75,4.01123595505618,3.75
"315","21",322,5.5,1.75,6.25842696629213,4
"316","21",9977,2.5,4,4.01123595505618,4.25
"317","21",13165,5.5,1.75,5.49438202247191,4
"318","21",4701,3.505,1.75,6.25842696629213,3.75
"319","21",6474,7,2.5,7,4.5
"320","21",4504,7,2.5,6.25842696629213,4.25
"321","21",4584,3.505,4,4.01123595505618,4.75
"322","21",11299,5.005,1,6.25842696629213,5
"323","21",3819,7,5.5,4.75280898876404,5.25
"324","21",11143,5.005,3.25,7,5.5
"325","22",5938,3.73024523160763,4,2.71794871794872,3.5
"326","22",2725,3.73024523160763,7,1,3.25
"327","22",4094,3.17438692098093,2,5.28205128205128,3.75
"328","22",4701,4.80926430517711,1,7,2.75
"329","22",4584,2.09536784741144,5,1.87179487179487,3.5
"330","22",4504,5.90463215258855,4,5.28205128205128,3
"331","22",10879,2.09536784741144,2,2.71794871794872,2.25
"332","22",13165,6.4441416893733,5,6.12820512820513,2.75
"333","22",6046,4.26975476839237,2,4.43589743589743,2.75
"334","22",6366,3.17438692098093,5,4.43589743589743,3
"335","22",9977,3.17438692098093,4,4.43589743589743,2.75
"336","22",7784,2.63487738419618,2,3.56410256410256,3
"337","22",6474,4.26975476839237,4,4.43589743589743,3.75
"338","22",3819,5.90463215258855,3,5.28205128205128,3.75
"339","22",11143,7,2,5.28205128205128,4.25
"340","22",322,4.26975476839237,5,4.43589743589743,4.25
"341","22",11299,1,1,5.28205128205128,4
"342","22",3775,5.90463215258855,2,5.28205128205128,4
"343","23",4094,4.495,4,6.34,4.5
"344","23",3775,3.505,5,4.34,4.25
"345","23",11299,1,1,5.66,5.5
"346","23",2725,6.505,2,7,4.5
"347","23",6366,5.995,4,5.66,4.25
"348","23",13165,5.995,4,6.34,4.25
"349","23",9977,2.995,5,3.66,5
"350","23",7784,5.995,7,1,4
"351","23",11143,6.505,4,5.66,5.5
"352","23",3819,6.505,7,3.66,4.5
"353","23",6474,5.005,3,6.34,5.75
"354","23",6046,5.995,1,7,6.25
"355","23",4584,3.505,5,1,2
"356","23",5938,5.005,3,6.34,2.75
"357","23",10879,2.995,5,4.34,2
"358","23",4701,5.005,1,7,3.5
"359","23",322,4.495,3,6.34,3.75
"360","23",4504,7,3,5.66,3.5
"361","24",6046,3.30023094688222,2.5,4.6036036036036,1.75
"362","24",2725,4.68591224018476,1,7,3.5
"363","24",4701,1,5.5,1.59459459459459,4
"364","24",9977,5.61431870669746,5.5,5.1981981981982,4
"365","24",10879,4.68591224018476,4.75,4.6036036036036,3.5
"366","24",6474,5.61431870669746,6.25,4.6036036036036,4
"367","24",6366,5.61431870669746,7,4.6036036036036,4.75
"368","24",322,3.77136258660508,3.25,5.79279279279279,4.75
"369","24",3819,7,4.75,5.1981981981982,5.25
"370","24",4094,6.54272517321016,2.5,6.40540540540541,5.75
"371","24",4584,7,1.75,5.79279279279279,6
"372","24",11299,3.77136258660508,5.5,3.99099099099099,5.5
"373","24",3775,5.15704387990762,4.75,1,4
"374","24",11143,6.0715935334873,4,4.6036036036036,4.75
"375","24",5938,6.0715935334873,1.75,6.40540540540541,4.75
"376","24",13165,5.61431870669746,3.25,5.79279279279279,3.75
"377","24",7784,2.84295612009238,6.25,4.6036036036036,3.75
"378","24",4504,2.84295612009238,6.25,4.6036036036036,3.75
"379","25",11143,4.996,5.66666666666667,4.6036036036036,5
"380","25",3819,5.392,7,0.999999999999999,5
"381","25",3775,7,2.33333333333333,5.1981981981982,5.75
"382","25",6474,4.6,1,7,5.75
"383","25",6046,5.392,1,7,5
"384","25",7784,4.6,7,4.6036036036036,5.25
"385","25",10879,4.996,1,7,2.75
"386","25",4701,2.2,1,7,3.5
"387","25",13165,6.592,5.66666666666667,4.6036036036036,3.75
"388","25",322,5.392,2.33333333333333,7,4.5
"389","25",4504,4.996,6.33333333333333,3.3963963963964,3.5
"390","25",6366,1.792,5,3.3963963963964,4
"391","25",4584,6.196,2.33333333333333,5.79279279279279,4.75
"392","25",5938,5.392,1.66666666666667,7,4.25
"393","25",9977,2.2,7,3.3963963963964,4
"394","25",2725,4.996,1.66666666666667,7,4.75
"395","25",4094,4.192,1.66666666666667,7,5
"396","25",11299,1,1,7,3
"397","27",2725,2.12570356472796,4,4.75280898876404,3
"398","27",6046,5.13133208255159,4,2.50561797752809,3
"399","27",13165,6.25703564727955,5,5.49438202247191,4.25
"400","27",4584,4.37711069418387,4,5.49438202247191,4
"401","27",6366,2.49718574108818,6,1,4
"402","27",5938,5.13133208255159,3,5.49438202247191,4.5
"403","27",9977,4.74859287054409,4,5.49438202247191,4.75
"404","27",3775,5.13133208255159,4,6.23595505617978,5.25
"405","27",4701,1,3,3.24719101123596,5.5
"406","27",10879,5.87429643527205,3,4.75280898876404,4.5
"407","27",11299,5.87429643527205,1,7,4
"408","27",6474,6.25703564727955,3,6.23595505617978,5.5
"409","27",7784,6.25703564727955,5,4.75280898876404,5.75
"410","27",322,7,2,7,4.75
"411","27",4094,5.50281425891182,4,4.75280898876404,6
"412","27",3819,5.50281425891182,5,2.50561797752809,5.75
"413","27",4504,7,2,5.49438202247191,6.25
"414","27",11143,6.25703564727955,7,6.23595505617978,6.75
"415","29",322,5.28755364806867,2.8,5,6.25
"416","29",13165,7,3.4,4.34,5.5
"417","29",6366,5.71244635193133,5.2,3.66,5
"418","29",9977,3.13733905579399,5.8,2.34,5.25
"419","29",4094,3.57510729613734,3.4,5,5.75
"420","29",6474,4.86266094420601,5.8,1,5.5
"421","29",11143,6.57510729613734,5.2,3,6
"422","29",4701,4.42489270386266,1.6,7,5.75
"423","29",3819,4.86266094420601,7,2.34,5.75
"424","29",7784,1.84978540772532,4.6,3,5
"425","29",4504,7,2.8,7,6.75
"426","29",11299,0.999999999999999,2.8,3,6
"427","29",6046,5.71244635193133,1,7,3
